,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
2,fb8fbf9ca5e72b25,2295,2284,4,69,2016-08-08 09:34:21,2016-08-08 10:58:40,5059.0,4451.0,2126.0,1.0,,56345
7,e3f536cfae58508c,118,103,5,81,2016-08-08 10:00:08,2016-08-08 11:00:07,3599.0,3148.0,120.0,30.0,,29408
15,89a51500de089d04,358,225,1,53,2016-08-08 10:00:05,2016-08-08 10:59:44,3579.0,2257.0,20.0,10.0,,14670
27,376d54a0efe6a459,174,104,1,55,2016-08-08 10:00:08,2016-08-08 10:59:38,3570.0,1645.0,210.0,30.0,,13996
28,0d51ed199f81bdd1,302,255,3,68,2016-08-08 10:00:07,2016-08-08 10:56:18,3371.0,2074.0,302.0,10.0,,27427
39,074ff9495d0a1fec,212,166,1,48,2016-08-08 10:00:08,2016-08-08 10:59:53,3585.0,2475.0,60.0,15.0,,18280
40,aae9670195e3235d,242,197,3,66,2016-08-08 10:00:08,2016-08-08 11:00:08,3600.0,2934.0,18.0,15.0,,42794
45,ee8e9433219a4d20,210,132,4,58,2016-08-08 10:00:08,2016-08-08 10:59:13,3545.0,1980.0,60.0,15.0,,20197
46,1e7ed227107be983,174,126,2,65,2016-08-08 10:00:07,2016-08-08 11:00:05,3598.0,1933.0,120.0,15.0,,0
50,14ead584dd3fb181,156,118,4,51,2016-08-08 09:47:04,2016-08-08 10:59:46,4362.0,3246.0,32.0,30.0,,20045
51,8894a6a885441811,156,129,3,49,2016-08-08 09:47:03,2016-08-08 10:59:51,4368.0,3579.0,90.0,30.0,,20750
52,720db2a152d14979,156,121,3,52,2016-08-08 09:46:37,2016-08-08 10:59:50,4393.0,3441.0,32.0,30.0,,19596
53,0543a0a4f8faf023,158,119,4,63,2016-08-08 09:46:36,2016-08-08 10:59:44,4388.0,3271.0,32.0,30.0,,18575
56,926c28b7588d0017,180,178,19,76,2016-08-08 09:59:53,2016-08-08 11:00:01,3608.0,3548.0,30.0,30.0,,69749
62,050ce6c0269cc965,243,218,10,48,2016-08-08 09:52:51,2016-08-08 11:00:06,4035.0,3256.0,384.0,30.0,,30339
66,367bf482f6bed9de,252,251,8,67,2016-08-08 10:00:09,2016-08-08 10:59:50,3581.0,3551.0,93.0,30.0,,36639
70,fec9a9e85195f69f,131,112,8,66,2016-08-08 10:00:05,2016-08-08 11:00:05,3600.0,2222.0,240.0,30.0,,18117
71,2efec030119f7a3a,122,101,1,50,2016-08-08 10:00:05,2016-08-08 10:56:48,3403.0,2827.0,32.0,30.0,,25347
78,e6f14c61d25c4109,119,112,2,57,2016-08-08 10:00:05,2016-08-08 10:59:46,3581.0,3469.0,338.0,30.0,,35916
79,aadfc72cb52fd065,111,100,6,87,2016-08-08 10:00:08,2016-08-08 10:59:54,3586.0,3231.0,250.0,30.0,,43868
81,21c48eaa1a52271c,154,152,21,78,2016-08-08 10:00:05,2016-08-08 11:00:07,3602.0,3535.0,37.0,30.0,,60364
86,dafc6474f8cfdb95,251,225,6,49,2016-08-08 10:00:07,2016-08-08 10:59:24,3557.0,1997.0,60.0,3.0,,17346
89,b06bdb3f139c489b,293,271,5,61,2016-08-08 10:00:08,2016-08-08 11:00:04,3596.0,2936.0,30.0,4.0,,32143
93,86768de92ab779c7,127,114,4,76,2016-08-08 10:00:08,2016-08-08 11:00:06,3598.0,3053.0,300.0,30.0,,49615
102,eb035638e8d2ca8e,253,221,12,49,2016-08-08 10:00:08,2016-08-08 11:00:00,3592.0,2523.0,139.0,30.0,,20737
108,425f58b056c59797,382,304,8,96,2016-08-08 10:00:18,2016-08-08 11:00:14,3596.0,2711.0,166.0,10.0,,54884
110,123e6d34f042549e,366,131,3,50,2016-08-08 10:00:08,2016-08-08 10:58:11,3483.0,1184.0,119.0,10.0,,7446
112,46b9c6b9ef3a4526,139,134,1,62,2016-08-08 10:00:08,2016-08-08 10:59:52,3584.0,3509.0,215.0,60.0,,32563
124,e30ab4bc31955a14,193,193,11,72,2016-08-08 10:00:07,2016-08-08 10:59:42,3575.0,3575.0,84.0,3.0,,42691
127,0798a45f5a7399f7,171,152,4,53,2016-08-08 09:59:56,2016-08-08 10:59:28,3572.0,3122.0,62.0,7.0,,26978
129,aef0d2e6e4e4a66d,143,125,5,99,2016-08-08 10:00:08,2016-08-08 10:59:14,3546.0,2621.0,116.0,60.0,,48893
136,b6b109045a892871,1367,103,7,44,2016-08-08 09:00:02,2016-08-08 10:53:25,6803.0,697.0,3552.0,1.0,,20278
137,c6b49c7250dfd0e3,356,178,5,53,2016-08-08 09:59:51,2016-08-08 10:59:37,3586.0,1098.0,32.0,1.0,,9896
138,40be37888491bb42,771,163,5,85,2016-08-08 09:59:19,2016-08-08 10:59:18,3599.0,2213.0,281.0,1.0,,42190
141,1757803b6a03fbd5,649,409,5,46,2016-08-08 08:26:46,2016-08-08 10:59:55,9189.0,2197.0,5446.0,1.0,,38353
142,57f7fc8021701227,416,209,5,55,2016-08-08 10:00:07,2016-08-08 11:00:07,3600.0,634.0,30.0,1.0,,3654
175,195630d4b0358a03,537,537,3,64,2016-08-08 10:00:05,2016-08-08 10:51:25,3080.0,3080.0,263.0,5.0,,31929
179,7a502d8200c45c70,115,113,33,96,2016-08-08 10:00:08,2016-08-08 10:59:37,3569.0,3509.0,120.0,30.0,,85626
181,b1e5de0380527820,337,114,8,43,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,1350.0,220.0,10.0,,9771
185,e3a6fa063721767e,119,108,5,58,2016-08-08 10:00:09,2016-08-08 10:59:38,3569.0,3239.0,60.0,30.0,,33801
186,5b51661cfc008d36,357,113,6,56,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,1140.0,30.0,10.0,,11650
202,815c1a824a9c8116,150,136,33,98,2016-08-08 10:00:07,2016-08-08 10:59:54,3587.0,3137.0,709.0,30.0,,79343
203,45afc94b7fe816f5,148,114,6,55,2016-08-08 10:00:06,2016-08-08 10:58:33,3507.0,1144.0,564.0,10.0,,10250
205,48733877c9cc8344,292,258,11,90,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,2860.0,392.0,10.0,,55624
208,fddaae100c2e90f3,172,154,3,59,2016-08-08 09:59:50,2016-08-08 10:53:35,3225.0,2325.0,60.0,15.0,,21441
209,36436ee6bb674fc5,240,172,5,54,2016-08-08 10:00:08,2016-08-08 10:59:53,3585.0,2580.0,15.0,15.0,,20839
219,73144b5083415595,159,131,3,64,2016-08-08 09:46:37,2016-08-08 10:59:44,4387.0,3555.0,32.0,30.0,,32622
